upstream_hotspot,downstream_hotspot,upstream_particles,downstream_particles,upstream_x_nm,upstream_y_nm,downstream_x_nm,downstream_y_nm,upstream_gap_nm,downstream_gap_nm,upstream_euclidean_nm,downstream_euclidean_nm,upstream_geodesic_nm,downstream_geodesic_nm,upstream_coordination,downstream_coordination,upstream_Etotal_components,downstream_Etotal_components,upstream_M2,downstream_M2,upstream_M4,downstream_M4,ratio,associated_branch,associated_loop,high_coordination,unusually_short_gap,destination_class
16,17,"[9, 15]","[9, 18]",149.7242885296408,9.185374359696592,158.80786174573214,-5.483197318901027,3.3702936113884157,4.341560549656062,369.99397760099356,364.4299090261695,296.8326583452729,308.6243411639327,"[4, 5]","[4, 3]","[np.float64(0.0002928541327509842), np.float64(0.0020718708147969174), np.float64(-0.002018200691944628), np.float64(0.008032804522943783), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.009684950927847137), np.float64(-0.004141696457035473), np.float64(0.0027709264437487053), np.float64(0.0004668993409479509), np.float64(0.0), np.float64(0.0)]",7.297749475306843e-05,0.0001188479523682708,5.32571474043413e-09,1.4124835782130766e-08,2.6521953334998503,True,True,True,False,transition
16,18,"[9, 15]","[9, 124]",149.7242885296408,9.185374359696592,137.2980644579616,-8.40364359253687,3.3702936113884157,3.1825502846020264,369.99397760099356,348.48777468427636,296.8326583452729,300.0788634080133,"[4, 5]","[4, 3]","[np.float64(0.0002928541327509842), np.float64(0.0020718708147969174), np.float64(-0.002018200691944628), np.float64(0.008032804522943783), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.005602021097940488), np.float64(0.005179942994953107), np.float64(-0.004866543381307676), np.float64(0.001928939972192469), np.float64(0.0), np.float64(0.0)]",7.297749475306843e-05,8.561850371120554e-05,5.32571474043413e-09,7.330528177745716e-09,1.3764402591994933,True,True,True,False,transition
16,27,"[9, 15]","[15, 22]",149.7242885296408,9.185374359696592,163.82892396815947,18.15635653375263,3.3702936113884157,3.4402159857315233,369.99397760099356,385.80129316173776,296.8326583452729,311.2809220904898,"[4, 5]","[5, 4]","[np.float64(0.0002928541327509842), np.float64(0.0020718708147969174), np.float64(-0.002018200691944628), np.float64(0.008032804522943783), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.009940926930339109), np.float64(-0.005980373449997533), np.float64(0.0024066513961822035), np.float64(0.0008853209920477621), np.float64(0.0), np.float64(0.0)]",7.297749475306843e-05,0.00014116265903748297,5.32571474043413e-09,1.992689630653267e-08,3.741637935513668,True,True,True,False,transition
16,28,"[9, 15]","[15, 56]",149.7242885296408,9.185374359696592,159.63595427697402,28.743042172035956,3.3702936113884157,1.8859859352315809,369.99397760099356,391.52026075411754,296.8326583452729,310.25773928555105,"[4, 5]","[5, 3]","[np.float64(0.0002928541327509842), np.float64(0.0020718708147969174), np.float64(-0.002018200691944628), np.float64(0.008032804522943783), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.005389535657017273), np.float64(0.0034233514791558836), np.float64(-0.0073600746201964405), np.float64(0.0021409084397571187), np.float64(0.0), np.float64(0.0)]",7.297749475306843e-05,9.952061731038244e-05,5.32571474043413e-09,9.904353269839593e-09,1.8597228264299095,True,True,True,True,transition
16,29,"[9, 15]","[15, 110]",149.7242885296408,9.185374359696592,147.0056778368796,32.10550624847001,3.3702936113884157,5.436158091802639,369.99397760099356,386.68278969252924,296.8326583452729,301.38562159935157,"[4, 5]","[5, 2]","[np.float64(0.0002928541327509842), np.float64(0.0020718708147969174), np.float64(-0.002018200691944628), np.float64(0.008032804522943783), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0013658616822371356), np.float64(-0.0034765451363745086), np.float64(0.003114303561966519), np.float64(0.007319084393091004), np.float64(0.0), np.float64(0.0)]",7.297749475306843e-05,7.721982724951856e-05,5.32571474043413e-09,5.962901720445488e-09,1.1196434677910325,True,True,True,False,transition
18,17,"[9, 124]","[9, 18]",137.2980644579616,-8.40364359253687,158.80786174573214,-5.483197318901027,3.1825502846020264,4.341560549656062,348.48777468427636,364.4299090261695,300.0788634080133,308.6243411639327,"[4, 3]","[4, 3]","[np.float64(-0.005602021097940488), np.float64(0.005179942994953107), np.float64(-0.004866543381307676), np.float64(0.001928939972192469), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.009684950927847137), np.float64(-0.004141696457035473), np.float64(0.0027709264437487053), np.float64(0.0004668993409479509), np.float64(0.0), np.float64(0.0)]",8.561850371120554e-05,0.0001188479523682708,7.330528177745716e-09,1.4124835782130766e-08,1.9268510316912029,True,True,True,False,transition
17,34,"[9, 18]","[18, 20]",158.80786174573214,-5.483197318901027,181.44273087588073,-11.977753679637841,4.341560549656062,2.7557464227716437,364.4299090261695,374.8764057154451,308.6243411639327,332.1725165255555,"[4, 3]","[3, 2]","[np.float64(-0.009684950927847137), np.float64(-0.004141696457035473), np.float64(0.0027709264437487053), np.float64(0.0004668993409479509), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.010843293876609966), np.float64(-0.006042235263598311), np.float64(0.0033614931571352385), np.float64(0.0007994531182225488), np.float64(0.0), np.float64(0.0)]",0.0001188479523682708,0.00016602439060890093,1.4124835782130766e-08,2.7564098277056913e-08,1.9514632737839024,True,True,True,False,transition
64,18,"[33, 124]","[9, 124]",121.93412796406655,-24.891615780338526,137.2980644579616,-8.40364359253687,3.3924663837018194,3.1825502846020264,326.03036566409907,348.48777468427636,281.11137590678436,300.0788634080133,"[3, 3]","[4, 3]","[np.float64(7.758042292798601e-05), np.float64(0.004254099205655772), np.float64(-0.0018343537114964316), np.float64(0.00757710113922346), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.005602021097940488), np.float64(0.005179942994953107), np.float64(-0.004866543381307676), np.float64(0.001928939972192469), np.float64(0.0), np.float64(0.0)]",7.888069398648494e-05,8.561850371120554e-05,6.222163883789481e-09,7.330528177745716e-09,1.178131645944563,True,True,True,False,transition
20,19,"[10, 185]","[10, 21]",64.0160480863576,-21.336227079664162,85.06469125580878,-21.092613613837003,2.662957410937352,2.785116746716497,297.0431583547155,307.9249822606694,236.1160545476853,241.4774077920828,"[4, 1]","[4, 2]","[np.float64(-0.011007535572826872), np.float64(0.006733407539466408), np.float64(-0.006436834766939653), np.float64(0.0018016842756557626), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.016839926987147757), np.float64(-0.001615944149831416), np.float64(0.006824543251550407), np.float64(-0.00043653630740651095), np.float64(0.0), np.float64(0.0)]",0.00021118352452562038,0.00033295937096780803,4.4598481031063303e-08,1.1086194271527841e-07,2.4857784425003606,True,True,True,False,transition
22,21,"[11, 14]","[11, 12]",18.151182170279526,-72.80160892857108,31.76720645911633,-69.96849703544305,1.7885237686800366,2.0278770443448515,230.3833612684903,238.94530478827997,90.10437303685592,104.01201986991784,"[3, 3]","[3, 2]","[np.float64(0.008919037261211337), np.float64(0.008358431707149788), np.float64(0.00935037678910172), np.float64(0.016534989010091337), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.021457301567261892), np.float64(-0.0021426404507657354), np.float64(0.014623839409604714), np.float64(-0.0011158325604340902), np.float64(0.0), np.float64(0.0)]",0.0005102480139319767,0.00068010846003051,2.6035303572152667e-07,4.625475174050718e-07,1.7766165703549244,True,True,False,True,transition
