hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm,radius_i_nm,radius_j_nm,coordination_i,coordination_j,euclidean_distance_nm,geodesic_distance_nm,geodesic_steps,Einc_x_real,Einc_x_imag,Einc_y_real,Einc_y_imag,Einc_z_real,Einc_z_imag,Escat_x_real,Escat_x_imag,Escat_y_real,Escat_y_imag,Escat_z_real,Escat_z_imag,Etotal_x_real,Etotal_x_imag,Etotal_y_real,Etotal_y_imag,Etotal_z_real,Etotal_z_imag,M2_inc,M2_scat,M2_total,M4,f_inc,f_scat,remote_classification
20,10,185,64.0160480863576,-21.336227079664162,2.662957410937352,10.0,10.0,4,1,297.0431583547155,236.1160545476853,11,2.149275614116373e-13,0.0,0.0,0.0,0.0,0.0,-0.011007535573041799,0.006733407539466408,-0.006436834766939653,0.0018016842756557626,0.0,0.0,-0.011007535572826872,0.006733407539466408,-0.006436834766939653,0.0018016842756557626,0.0,0.0,4.619385665435312e-26,0.00021118352453035197,0.00021118352452562038,4.4598481031063303e-08,2.187379756925544e-22,1.0000000000224052,transition
21,11,12,31.76720645911633,-69.96849703544305,2.0278770443448515,10.0,10.0,3,2,238.94530478827997,104.01201986991784,5,6.353033331786786e-09,0.0,0.0,0.0,0.0,0.0,-0.021457307920295224,-0.0021426404507657354,0.014623839409604714,-0.0011158325604340902,0.0,0.0,-0.021457301567261892,-0.0021426404507657354,0.014623839409604714,-0.0011158325604340902,0.0,0.0,4.036103251479391e-17,0.0006801087326684546,0.00068010846003051,4.625475174050718e-07,5.934499405136542e-14,1.0000004008742143,transition
22,11,14,18.151182170279526,-72.80160892857108,1.7885237686800366,10.0,10.0,3,3,230.3833612684903,90.10437303685592,4,2.3982339094396027e-08,0.0,0.0,0.0,0.0,0.0,0.008919013278872243,0.008358431707149788,0.00935037678910172,0.016534989010091337,0.0,0.0,0.008919037261211337,0.008358431707149788,0.00935037678910172,0.016534989010091337,0.0,0.0,5.75152588438596e-16,0.0005102475861337999,0.0005102480139319767,2.6035303572152667e-07,1.12720201301023e-12,0.9999991615877669,transition
23,12,13,44.178721761789376,-88.24803135116991,4.0806622434928315,10.0,10.0,2,2,229.31326126492985,105.78961151038698,5,2.8217329738831138e-08,0.0,0.0,0.0,0.0,0.0,-0.007059397464639701,-0.002405224861163872,0.02387548502545274,0.005371038865816243,0.0,0.0,-0.007059369247309963,-0.002405224861163872,0.02387548502545274,0.005371038865816243,0.0,0.0,7.962176975899242e-16,0.0006545070428952487,0.0006545066445013528,4.283789476964202e-07,1.216515835674268e-12,1.0000006086934323,transition
24,13,16,51.84819548636241,-110.05757993053678,2.1651695351515023,10.0,10.0,2,3,215.7870188235695,82.67084777943286,4,2.0647835559866809e-07,0.0,0.0,0.0,0.0,0.0,-0.01372768939354852,-0.004893009411991831,0.03399760735437537,0.004792999308481421,0.0,0.0,-0.01372748291519292,-0.004893009411991831,0.03399760735437537,0.004792999308481421,0.0,0.0,4.263331133073003e-14,0.0013912011453849665,0.0013911954764861355,1.9354248537954855e-06,3.0645090536387254e-11,1.0000040748398962,transition
25,14,17,5.305701554837893,-90.84253224270036,2.937381648035064,10.0,10.0,3,3,208.65099554638937,67.9575609351565,3,5.619717833544208e-07,0.0,0.0,0.0,0.0,0.0,0.005566657908717185,0.013583340550524969,0.003531891878031017,0.014078508607181557,0.0,0.0,0.00556721988050054,0.013583340550524969,0.003531891878031017,0.014078508607181557,0.0,0.0,3.158122852865481e-13,0.00042617348562480617,0.000426179742549963,1.8162917295995272e-07,7.410307289524067e-10,0.9999853185768066,transition
26,14,186,17.164933829678702,-93.58871671863957,3.6080528093672157,10.0,10.0,3,2,211.25844585179294,75.39399112129522,4,3.913113526726213e-07,0.0,0.0,0.0,0.0,0.0,-0.007081291114589995,-0.0024915884419235462,0.019446201817249716,0.004004086068414542,0.0,0.0,-0.007080899803237322,-0.0024915884419235462,0.019446201817249716,0.004004086068414542,0.0,0.0,1.531245747304766e-13,0.0004505401671739756,0.00045053462534789076,2.0298144863736428e-07,3.398730444130413e-10,1.0000123005553248,transition
27,15,22,163.82892396815947,18.15635653375263,3.4402159857315233,10.0,10.0,5,4,385.80129316173776,311.2809220904898,14,4.274615936779759e-22,0.0,0.0,0.0,0.0,0.0,-0.009940926930339109,-0.005980373449997533,0.0024066513961822035,0.0008853209920477621,0.0,0.0,-0.009940926930339109,-0.005980373449997533,0.0024066513961822035,0.0008853209920477621,0.0,0.0,1.82723414069715e-43,0.00014116265903748297,0.00014116265903748297,1.992689630653267e-08,1.2944174848760562e-39,1.0,transition
28,15,56,159.63595427697402,28.743042172035956,1.8859859352315809,10.0,10.0,5,3,391.52026075411754,310.25773928555105,14,9.832569095849611e-23,0.0,0.0,0.0,0.0,0.0,-0.005389535657017273,0.0034233514791558836,-0.0073600746201964405,0.0021409084397571187,0.0,0.0,-0.005389535657017273,0.0034233514791558836,-0.0073600746201964405,0.0021409084397571187,0.0,0.0,9.667941502465684e-45,9.952061731038244e-05,9.952061731038244e-05,9.904353269839593e-09,9.71451118747942e-41,1.0,transition
29,15,110,147.0056778368796,32.10550624847001,5.436158091802639,10.0,10.0,5,2,386.68278969252924,301.38562159935157,14,3.412992432552614e-22,0.0,0.0,0.0,0.0,0.0,-0.0013658616822371356,-0.0034765451363745086,0.003114303561966519,0.007319084393091004,0.0,0.0,-0.0013658616822371356,-0.0034765451363745086,0.003114303561966519,0.007319084393091004,0.0,0.0,1.1648517344661408e-43,7.721982724951856e-05,7.721982724951856e-05,5.962901720445488e-09,1.5084878792880276e-39,1.0,transition
30,16,19,62.26017940074295,-130.04051269448541,3.2246661650841197,10.0,10.0,3,2,207.19505266656003,79.032787863786,4,6.864955691980626e-07,0.0,0.0,0.0,0.0,0.0,-0.01721679184840875,0.00012108238050786879,0.02196151284786374,-0.0031461825290097045,0.0,0.0,-0.017216105352839555,0.00012108238050786879,0.02196151284786374,-0.0031461825290097045,0.0,0.0,4.712761665285719e-13,0.0007886390935670337,0.0007886154555356704,6.219143367097329e-07,5.975994551215783e-10,1.0000299740909178,transition
31,16,65,46.8264837731079,-128.5325118998344,4.066998363042909,10.0,10.0,3,2,198.17423704100105,63.52559510935268,3,2.299499083518746e-06,0.0,0.0,0.0,0.0,0.0,0.021519499890079532,0.016076256761314665,0.015284388286900952,0.014047548205904238,0.0,0.0,0.02152179938916305,0.016076256761314665,0.015284388286900952,0.014047548205904238,0.0,0.0,5.287696035103554e-12,0.001152481042876807,0.001152580016305053,1.3284406939857564e-06,4.587704072863311e-09,0.9999141288007376,transition
32,17,31,-7.362663630534579,-108.99218730023667,1.823449260077684,10.0,10.0,3,2,186.9829951379511,45.82393368661201,2,9.56024048116294e-06,0.0,0.0,0.0,0.0,0.0,0.01220015669911573,0.00790624139059257,0.015841634537511532,0.01981197941352668,0.0,0.0,0.012209716939596894,0.00790624139059257,0.015841634537511532,0.01981197941352668,0.0,0.0,9.139819805766661e-11,0.0008548243895113806,0.0008550577537734816,7.311237622881518e-07,1.0689125694061532e-07,0.9997270777779967,transition
33,17,186,9.311084044953912,-101.94622309170816,4.346081354050835,10.0,10.0,3,2,200.2704855552098,63.925300297277694,3,1.7446940158240383e-06,0.0,0.0,0.0,0.0,0.0,-0.013052014817511445,0.011268655201674806,0.002288330724676156,-0.00298148262704194,0.0,0.0,-0.013050270123495621,0.011268655201674806,0.002288330724676156,-0.00298148262704194,0.0,0.0,3.0439572088522097e-12,0.0003114633770116208,0.0003114178365112849,9.698106889736938e-08,9.774511450444506e-09,1.0001462360051243,transition
34,18,20,181.44273087588073,-11.977753679637841,2.7557464227716437,10.0,10.0,3,2,374.8764057154451,332.1725165255555,15,6.668012292337861e-21,0.0,0.0,0.0,0.0,0.0,-0.010843293876609966,-0.006042235263598311,0.0033614931571352385,0.0007994531182225488,0.0,0.0,-0.010843293876609966,-0.006042235263598311,0.0033614931571352385,0.0007994531182225488,0.0,0.0,4.446238793076882e-41,0.00016602439060890093,0.00016602439060890093,2.7564098277056913e-08,2.6780636126837314e-37,1.0,transition
