particle_id,x_nm,y_nm,radius_nm,coordination
58,96.71444153754591,-16.469994851276603,10.0,2
59,-66.16629502437718,-91.36565509349397,10.0,3
60,-175.45191755937626,18.23074440541444,10.0,3
61,-137.87588982165136,46.35386862843374,10.0,2
62,133.4649402221128,7.894785851818035,10.0,5
63,-91.23849108945123,64.64903732745951,10.0,4
64,-191.21662783230244,-93.86996717915895,10.0,3
65,-237.75413368670777,15.693204737848093,10.0,2
66,155.76175537368167,14.895300842426133,10.0,4
67,232.88402699204957,47.125407103051465,10.0,4
68,-259.9706060433261,22.165694251730663,10.0,3
69,255.56002342724963,42.347228866663976,10.0,2
70,-17.341064412430768,120.21166946366927,10.0,2
71,-112.6235831992671,-104.87559072197064,10.0,4
72,244.53646707426918,76.87142907636424,10.0,3
73,-156.0654910001815,59.661234698635454,10.0,2
74,136.9240524713588,80.95959502089013,10.0,4
75,-106.67026570252798,-23.28791682412339,10.0,2
76,98.57080687788931,-63.4805788227383,10.0,3
77,257.77158175662316,98.08912561789987,10.0,3
78,145.0307138130773,103.22132070424654,10.0,2
79,-195.7019333340398,28.767720823005323,10.0,2
80,-172.53642216738376,-112.0523046316061,10.0,3
81,-21.160709776124342,142.3596107874987,10.0,2
82,-38.512756529588856,98.92882536928914,10.0,3
83,116.69942500771823,-78.14784997648542,10.0,2
84,177.91932592393715,14.54275521507732,10.0,3
85,-217.30744813856043,36.87663422699589,10.0,1
86,-178.06440874682954,67.48176794680077,10.0,2
87,-272.66323120635514,41.00092712575079,10.0,2
88,134.9596004714441,-89.64213047005589,10.0,2
89,-295.18330140950656,33.06622421307668,10.0,4
90,-236.13117111132163,-21.34722577274071,10.0,2
91,-134.27893994516603,-108.866195775938,10.0,5
92,-246.06813174785614,-42.1760486352309,10.0,2
93,-315.3371812189298,20.629866297631857,10.0,2
94,156.26631739956207,-100.00488743470927,10.0,2
95,278.3369585846661,110.35734130948413,10.0,2
96,117.59341454346297,-10.359479960911425,10.0,4
97,-268.1146556403236,-45.47265284834779,10.0,2
98,158.70632756417086,73.31967471358425,10.0,3
99,198.48183796099488,19.310294903781692,10.0,3
100,-115.31532847448997,61.38544409828311,10.0,3
101,-129.880036372134,80.05625175439789,10.0,2
102,276.9072387386763,35.83164280945134,10.0,3
103,-119.0012549703825,-44.08141657956625,10.0,2
104,289.7297265731335,16.50086311785817,10.0,3
105,-148.24563892124456,-125.98657835941098,10.0,2
106,174.47846678121823,-115.62797024945347,10.0,2
107,188.63880530511437,-133.4046222755519,10.0,2
108,312.0577164162929,19.724707653806053,10.0,3
109,167.74017658019622,106.0209289848391,10.0,2
110,334.39598015746594,12.68516001151035,10.0,2
111,-192.4232708904387,-125.13912289551807,10.0,3
112,-117.41683474089281,-126.85153607084494,10.0,3
113,-197.88829812876816,-147.77437006949557,10.0,2
114,-129.67645809303932,-146.79605974024017,10.0,2
115,78.7783265182687,68.26062868080913,10.0,3
116,-147.0901227215886,93.91994432895889,10.0,2
117,300.79207314156463,119.4929693765458,10.0,2
118,-40.86266722077481,-100.62219795642162,10.0,1
119,-201.3573229758764,66.678247474078,10.0,2
120,-69.47715664489992,-112.48872766566073,10.0,3
121,-287.5653263827439,-57.444509043115744,10.0,2
122,-107.96516684827282,108.88782167315398,10.0,2
123,322.0149882212025,124.86468723100937,10.0,2
124,357.3382276672833,6.334490441549108,10.0,2
125,268.96133355223026,75.1987358534753,10.0,2
126,-47.80400842770206,120.82100107800716,10.0,2
127,-64.75756163584755,135.63543244447294,10.0,3
128,-221.71115044980738,76.86971312602388,10.0,2
129,-168.56067967396757,-134.9731572028702,10.0,3
130,-309.27264446013567,-63.22546061738896,10.0,2
131,-337.4781645181749,16.579155056267915,10.0,2
132,-88.08923778991783,143.7867657706489,10.0,2
133,345.7831068213554,121.11984575278237,10.0,2
134,-359.91934108134797,13.398947899994305,10.0,2
135,-382.8044312405383,7.587679256088643,10.0,3
136,-406.41143031201455,11.039531487204043,10.0,2
137,-328.20313700200165,-74.57250139445674,10.0,2
138,141.9456415479753,-11.354014789083834,10.0,2
139,-58.58355308602504,158.58954949130526,10.0,2
140,-18.38771555266287,164.6256162503872,10.0,2
141,-95.22316567614536,164.51676438734285,10.0,2
142,-220.09860714212792,-157.16693917449524,10.0,1
143,-105.89954479811827,184.40602426027604,10.0,1
144,-349.737610216926,-80.0352845373357,10.0,2
145,-372.3453250240787,-77.62101511748575,10.0,3
146,-140.40308171117027,-52.8722861134312,10.0,2
