upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
12,11,377.1660565781502,381.25049505580847,18,18,8.158231395835813e-09,1.1698858444745896e-08,1.4339944379019842,0.1565474668177222,"[6, 39]","[6, 10]","[4, 3]","[4, 4]",4.3582981106012895,2.378620962607908,True,transition
11,19,381.25049505580847,391.02106941262457,18,18,1.1698858444745896e-08,1.1086194271527841e-07,9.476304311132843,0.9766389987079378,"[6, 10]","[10, 21]","[4, 4]","[4, 2]",2.378620962607908,2.785116746716497,True,transition
11,20,381.25049505580847,385.6597161682271,18,18,1.1698858444745896e-08,4.4598481031063303e-08,3.8122079382106757,0.5811765813562497,"[6, 10]","[10, 185]","[4, 4]","[4, 1]",2.378620962607908,2.662957410937352,True,transition
12,77,377.1660565781502,386.6534846440155,18,18,8.158231395835813e-09,3.094613830760576e-08,3.7932410599926754,0.5790104429395438,"[6, 39]","[39, 73]","[4, 3]","[3, 3]",4.3582981106012895,1.657562869629853,True,transition
13,14,416.2813038933766,435.0092597982796,19,20,5.786328978907376e-08,2.379033625417456e-08,0.41114731535134486,-0.38600254118714633,"[7, 8]","[8, 9]","[2, 3]","[3, 4]",1.584632114402151,3.543836123631557,True,transition
13,15,416.2813038933766,438.3964233822635,19,20,5.786328978907376e-08,2.7299101418782613e-08,0.4717861967111566,-0.3262547696392127,"[7, 8]","[8, 15]","[2, 3]","[3, 5]",1.584632114402151,2.7341203350701093,True,transition
14,15,435.0092597982796,438.3964233822635,20,20,2.379033625417456e-08,2.7299101418782613e-08,1.147486993337152,0.05974777154793364,"[8, 9]","[8, 15]","[3, 4]","[3, 5]",3.543836123631557,2.7341203350701093,True,transition
14,16,435.0092597982796,446.3763199658146,20,21,2.379033625417456e-08,5.32571474043413e-09,0.22386042313713037,-0.6500226796787743,"[8, 9]","[9, 15]","[3, 4]","[4, 5]",3.543836123631557,3.3702936113884157,True,transition
14,17,435.0092597982796,458.1680027844744,20,21,2.379033625417456e-08,1.4124835782130766e-08,0.5937215695995991,-0.22641717309192783,"[8, 9]","[9, 18]","[3, 4]","[4, 3]",3.543836123631557,4.341560549656062,True,transition
14,18,435.0092597982796,449.62252502855506,20,21,2.379033625417456e-08,7.330528177745716e-09,0.30813049884738,-0.5112653129599853,"[8, 9]","[9, 124]","[3, 4]","[4, 3]",3.543836123631557,3.1825502846020264,True,transition
