hotspot_id,steps,corrected_geodesic_nm,classification,M2,M4
124,31,689.5668749618271,remote,1.7239912403379146e-05,2.972145796761861e-10
125,31,684.3554527387522,remote,1.048014942055165e-05,1.098335318770891e-10
126,28,614.0971693875849,transition,4.217099124992771e-05,1.7783925030014797e-09
127,32,713.4304298630037,remote,9.566556826059362e-06,9.151900950622297e-11
128,25,553.617774404965,transition,2.8399444930997184e-05,8.065284723887416e-10
129,23,498.1474445773469,transition,0.00012633591431433276,1.596076324563843e-08
130,23,503.39276400304396,transition,0.00010191734663858162,1.0387145545848804e-08
131,23,490.72112618092643,transition,0.0001233052833474503,1.5204192901395006e-08
132,8,150.54440400297116,transition,0.009006955672806264,8.112525049189695e-05
133,9,168.9558367509661,transition,0.0011664082084871746,1.3605081088262602e-06
134,19,409.0390991290352,transition,0.00011940227145550816,1.4256902428734858e-08
135,19,406.776605017491,transition,3.370679021192613e-05,1.1361477063907992e-09
136,17,339.8689694449753,transition,0.0005368887556550854,2.88249535948866e-07
137,16,324.63645436118,transition,0.0005166100233629183,2.6688591623903496e-07
138,29,637.0680425203719,transition,4.792766548601388e-05,2.2970611189392463e-09
139,30,659.4112507026246,transition,2.9016365468272055e-05,8.419494649883309e-10
140,30,660.193532041212,remote,4.39129976099775e-05,1.9283513590938895e-09
141,9,177.75189180607111,transition,0.0006732284206526013,4.532365063743959e-07
142,28,618.160121333882,remote,2.680908690368813e-05,7.187271406095024e-10
143,24,516.0678003449825,transition,7.618069189927871e-05,5.8034978182528286e-09
144,20,418.33849538815093,transition,0.00012327037282103894,1.5195584815437936e-08
145,20,432.12324885698223,transition,0.00011556648362780646,1.3355612138096059e-08
146,33,732.1132042338509,remote,3.387616097528335e-05,1.1475942824233104e-09
147,3,60.639042394669964,source,3.155475213479885,9.957023822885926
148,4,75.68529538538121,source,0.11751410526155145,0.013809564935422996
149,12,243.94051760906342,transition,0.0022424271290394037,5.028479429051903e-06
