upstream,downstream,upstream_graph_distance,downstream_graph_distance,upstream_degree,downstream_degree,upstream_mean_gap_nm,downstream_mean_gap_nm,edge_gap_nm,edge_in_loop,downstream_euclidean_nm,enhancement_ratio,enhancement
61,117,27,28,3,3,3.7795566672188663,3.6997337375339243,5.833763039491924,True,461.23987895439535,0.7748587242077065,False
83,62,4,5,3,3,2.7600140788263943,2.412898604840098,3.440054383086615,False,94.20587581911472,0.10640611016203687,False
63,67,30,31,2,3,2.2773366397771078,3.929300523894623,1.7514159879434956,True,500.86858121222616,0.7578589795547325,False
66,64,11,12,4,2,1.940708965991215,1.7083316576649015,1.0712479515867308,True,192.84523836349234,0.9117802681422515,False
72,65,9,10,3,2,2.9190667871911784,3.7468147106197964,3.4266310581966835,True,186.277394445397,0.43909613424583344,False
78,66,10,11,4,4,3.0256935374787055,1.940708965991215,3.4828179415839813,True,171.85242994657932,0.4517085553949929,False
66,84,11,12,4,3,1.940708965991215,2.5928221593123943,1.8647352298357234,True,168.23295645063993,0.8378610257805363,False
67,69,31,32,3,2,3.929300523894623,4.640070977383836,4.87157689794774,False,517.9712545453187,0.5688246274491732,False
68,75,28,29,3,2,2.9108398835025646,2.9723683163595354,3.6205153803481203,False,429.8461928628119,0.7166124229781932,False
69,82,32,33,2,2,4.640070977383836,3.0100190903226416,4.408565056819931,False,525.063604604105,1.100780688748942,True
70,100,25,26,3,3,4.301591130088133,3.1977104788135513,4.618706988368537,True,479.35201184571537,0.8272296122450283,False
71,80,23,24,4,2,2.9278792929724045,2.6989783490954,2.8159751372841484,True,357.46853006830423,0.6095936740784026,False
71,87,23,24,4,3,2.9278792929724045,2.594835030471208,4.40718035822897,True,345.02360397917516,0.8333666009504077,False
94,72,8,9,4,3,2.291050345026786,2.9190667871911784,2.2454926084629,True,164.41339709522677,0.5409652606759647,False
72,155,9,10,3,1,2.9190667871911784,3.085076694913951,3.085076694913951,False,164.76804946178729,0.33615970774487575,False
73,81,19,20,3,3,3.0280901933599473,3.3528181285431877,3.123780741319809,True,376.36970760027185,1.1416265158096222,True
73,85,19,20,3,3,3.0280901933599473,3.237943165066028,4.30292696913018,True,381.9730160022623,0.6943608103717288,False
74,92,17,18,3,2,2.9477406303914577,2.9250505872045007,2.7714855531438687,True,259.30746919378845,0.8253728136812234,False
122,74,16,17,4,3,1.6674227047613082,2.9477406303914577,1.1088481980717262,True,242.3579924380916,0.5356883960383468,False
75,76,29,30,2,2,2.9723683163595354,2.4611269918842797,2.3242212523709505,False,441.7670943130609,0.6561625098443712,False
76,99,30,31,2,2,2.4611269918842797,3.2975801229971378,2.598032731397609,False,450.63381112068265,0.6876007724627017,False
77,163,30,31,2,3,2.4607815509608706,3.354536481601368,2.1105520705973007,False,546.4017478423503,0.837795679631431,False
90,78,9,10,4,4,3.302684778286343,3.0256935374787055,4.289920161417964,True,162.79988826206363,0.9783778103870765,False
