particle_id,field,x_real,x_imag,y_real,y_imag,z_real,z_imag
63,scattered,-0.001668113921866845,-0.0008011319899037407,-0.0005429729762334663,0.0005279797984477523,0.0,0.0
63,total,-0.001668113921866845,-0.0008011319899037407,-0.0005429729762334663,0.0005279797984477523,0.0,0.0
64,incident,4.579233968662255e-06,0.0,0.0,0.0,0.0,0.0
64,scattered,0.011540649911967406,0.009199082627514902,0.003093326310142812,0.0012490313402778715,0.0,0.0
64,total,0.011545229145936068,0.009199082627514902,0.003093326310142812,0.0012490313402778715,0.0,0.0
65,incident,1.0429916535207302e-05,0.0,0.0,0.0,0.0,0.0
65,scattered,0.0029255878911911993,0.005694585432287039,0.010782181693214352,0.003947067114304859,0.0,0.0
65,total,0.0029360178077264066,0.005694585432287039,0.010782181693214352,0.003947067114304859,0.0,0.0
66,incident,5.753826290740592e-05,0.0,0.0,0.0,0.0,0.0
66,scattered,0.011987054649051514,0.007816358100121714,0.006457365135710644,0.0018276284834601972,0.0,0.0
66,total,0.01204459291195892,0.007816358100121714,0.006457365135710644,0.0018276284834601972,0.0,0.0
67,incident,9.618003022667252e-37,0.0,0.0,0.0,0.0,0.0
67,scattered,-0.0013143036705889483,-0.0008541822892908773,-0.0006039002660855157,0.00045629186872666157,0.0,0.0
67,total,-0.0013143036705889483,-0.0008541822892908773,-0.0006039002660855157,0.00045629186872666157,0.0,0.0
68,incident,6.891579612734679e-26,0.0,0.0,0.0,0.0,0.0
68,scattered,-0.0020622888455345857,-0.0001385538064410402,-0.0002891342464945263,0.0016487827788450784,0.0,0.0
68,total,-0.0020622888455345857,-0.0001385538064410402,-0.0002891342464945263,0.0016487827788450784,0.0,0.0
69,incident,3.0298536486942236e-39,0.0,0.0,0.0,0.0,0.0
69,scattered,-0.0008112780581599527,-0.0008185620561419605,-0.00037860224851798437,0.0005019334019063564,0.0,0.0
69,total,-0.0008112780581599527,-0.0008185620561419605,-0.00037860224851798437,0.0005019334019063564,0.0,0.0
70,incident,2.029607862947151e-30,0.0,0.0,0.0,0.0,0.0
70,scattered,-0.0012584545811394159,-0.0011116543087360351,-0.0011245959121871437,0.0016072457132018255,0.0,0.0
70,total,-0.0012584545811394159,-0.0011116543087360351,-0.0011245959121871437,0.0016072457132018255,0.0,0.0
71,incident,8.165051833417423e-17,0.0,0.0,0.0,0.0,0.0
71,scattered,-0.00303064760084597,0.0015665022697437798,0.0011385749367519833,0.0021810781714610744,0.0,0.0
71,total,-0.0030306476008458883,0.0015665022697437798,0.0011385749367519833,0.0021810781714610744,0.0,0.0
72,incident,0.0001315503738114081,0.0,0.0,0.0,0.0,0.0
72,scattered,0.003635695986987702,0.005471080567434986,0.01829111479208712,0.003877578441432594,0.0,0.0
72,total,0.0037672463607991103,0.005471080567434986,0.01829111479208712,0.003877578441432594,0.0,0.0
73,incident,3.2626403335134454e-19,0.0,0.0,0.0,0.0,0.0
73,scattered,-0.0030585078005414034,-0.0009060104228785226,-0.00015043548820755436,0.0016546802281896561,0.0,0.0
73,total,-0.003058507800541403,-0.0009060104228785226,-0.00015043548820755436,0.0016546802281896561,0.0,0.0
74,incident,3.691174427232738e-09,0.0,0.0,0.0,0.0,0.0
74,scattered,0.003329553330149175,0.005810672547726664,-0.001462774560941375,0.00032946512278720426,0.0,0.0
74,total,0.0033295570213236025,0.005810672547726664,-0.001462774560941375,0.00032946512278720426,0.0,0.0
75,incident,2.972935165706448e-27,0.0,0.0,0.0,0.0,0.0
75,scattered,-0.0019327214586073972,-9.130293852847831e-05,-0.0001437115395257779,0.0011424276991667181,0.0,0.0
75,total,-0.0019327214586073972,-9.130293852847831e-05,-0.0001437115395257779,0.0011424276991667181,0.0,0.0
76,incident,9.581859014984826e-29,0.0,0.0,0.0,0.0,0.0
76,scattered,-0.0016032546688879116,-0.00023611999458132972,6.692233852448258e-05,0.0008341384522610495,0.0,0.0
