particle_id,E_inc_x_real,E_inc_x_imag,E_inc_y_real,E_inc_y_imag,E_inc_z_real,E_inc_z_imag,E_scat_x_real,E_scat_x_imag,E_scat_y_real,E_scat_y_imag,E_scat_z_real,E_scat_z_imag,E_total_x_real,E_total_x_imag,E_total_y_real,E_total_y_imag,E_total_z_real,E_total_z_imag
45,5.775933316478438e-45,0.0,0.0,0.0,0.0,0.0,0.0024702405300968512,-0.0017639370580615796,-0.0008295055079459689,-0.008734628193319242,0.0,0.0,0.0024702405300968512,-0.0017639370580615796,-0.0008295055079459689,-0.008734628193319242,0.0,0.0
46,8.301817849075033e-35,0.0,0.0,0.0,0.0,0.0,0.00896440758893948,-0.005842992626448413,-0.007767196162301675,-0.00020701683127935606,0.0,0.0,0.00896440758893948,-0.005842992626448413,-0.007767196162301675,-0.00020701683127935606,0.0,0.0
47,9.511257446133938e-07,0.0,0.0,0.0,0.0,0.0,0.007936628336443798,0.038700127638283864,0.03126095936555524,0.03031762052906795,0.0,0.0,0.007937579462188411,0.038700127638283864,0.03126095936555524,0.03031762052906795,0.0,0.0
48,5.169560328435493e-105,0.0,0.0,0.0,0.0,0.0,-0.0003162212519234904,0.0003227908186716645,-0.0027034101770236655,0.001931074184630672,0.0,0.0,-0.0003162212519234904,0.0003227908186716645,-0.0027034101770236655,0.001931074184630672,0.0,0.0
49,1.7191419604330669e-09,0.0,0.0,0.0,0.0,0.0,-0.013258128778280162,0.029540796198925887,0.01007205408222122,0.027362635547882517,0.0,0.0,-0.013258127059138201,0.029540796198925887,0.01007205408222122,0.027362635547882517,0.0,0.0
50,6.383831323574332e-36,0.0,0.0,0.0,0.0,0.0,-0.001408391807612393,-0.004847267875947954,-0.0038285110282931197,-0.005712468821101177,0.0,0.0,-0.001408391807612393,-0.004847267875947954,-0.0038285110282931197,-0.005712468821101177,0.0,0.0
51,7.803910125864871e-80,0.0,0.0,0.0,0.0,0.0,0.0016572579721787898,0.0032678056967146464,0.0036880450804463146,0.0014759851398594625,0.0,0.0,0.0016572579721787898,0.0032678056967146464,0.0036880450804463146,0.0014759851398594625,0.0,0.0
52,1.166934112457826e-49,0.0,0.0,0.0,0.0,0.0,0.002820991243610988,-0.0014664423365624527,0.001459624146392619,-0.004214269912832901,0.0,0.0,0.002820991243610988,-0.0014664423365624527,0.001459624146392619,-0.004214269912832901,0.0,0.0
53,2.8449523447816694e-38,0.0,0.0,0.0,0.0,0.0,-0.0005689226266063256,-0.004522888271879606,0.00011652655520576378,-0.004302828747690131,0.0,0.0,-0.0005689226266063256,-0.004522888271879606,0.00011652655520576378,-0.004302828747690131,0.0,0.0
54,1.1097119017175964e-112,0.0,0.0,0.0,0.0,0.0,-0.0012663177111549378,0.0006747145190702511,-0.002166138563161367,0.0006418495392822468,0.0,0.0,-0.0012663177111549378,0.0006747145190702511,-0.002166138563161367,0.0006418495392822468,0.0,0.0
55,1.327268724777842e-53,0.0,0.0,0.0,0.0,0.0,0.00233605713022774,-0.0006721380221370851,0.0023629714939898392,-0.001914766431986898,0.0,0.0,0.00233605713022774,-0.0006721380221370851,0.0023629714939898392,-0.001914766431986898,0.0,0.0
56,6.157028882850161e-79,0.0,0.0,0.0,0.0,0.0,0.0011167320341265,0.003243879818287505,0.0018390942954837131,0.0019171091599522083,0.0,0.0,0.0011167320341265,0.003243879818287505,0.0018390942954837131,0.0019171091599522083,0.0,0.0
57,6.255304222458175e-120,0.0,0.0,0.0,0.0,0.0,-0.0010122713194567633,0.000435401664096483,-0.0017044865866558622,-0.000276291129625764,0.0,0.0,-0.0010122713194567633,0.000435401664096483,-0.0017044865866558622,-0.000276291129625764,0.0,0.0
58,0.0001005621955787896,0.0,0.0,0.0,0.0,0.0,0.03638645249013377,0.03869113232832945,0.09295744066537041,0.053840890859157595,0.0,0.0,0.036487014685712554,0.03869113232832945,0.09295744066537041,0.053840890859157595,0.0,0.0
59,2.3369220257344924e-39,0.0,0.0,0.0,0.0,0.0,-0.000904274234563737,-0.0035603618113614894,0.001779402534638205,-0.004857424254570367,0.0,0.0,-0.000904274234563737,-0.0035603618113614894,0.001779402534638205,-0.004857424254570367,0.0,0.0
60,4.560423772893402e-51,0.0,0.0,0.0,0.0,0.0,0.004355864279490813,-0.0005167066165335846,0.001425206045488974,-0.005104314203840875,0.0,0.0,0.004355864279490813,-0.0005167066165335846,0.001425206045488974,-0.005104314203840875,0.0,0.0
61,1.2332117920019874e-07,0.0,0.0,0.0,0.0,0.0,-0.01151020989759824,0.01810623494458186,0.02160440697054977,0.027032199651405023,0.0,0.0,-0.011510086576419038,0.01810623494458186,0.02160440697054977,0.027032199651405023,0.0,0.0
62,0.0025571166157642464,0.0,0.0,0.0,0.0,0.0,0.08737791336045016,0.04766768190202644,0.11355632201496155,0.04727456861957146,0.0,0.0,0.0899350299762144,0.04766768190202644,0.11355632201496155,0.04727456861957146,0.0,0.0
63,6.053182276855972e-124,0.0,0.0,0.0,0.0,0.0,-0.0011260132896571751,-5.726855980745515e-05,-0.0013649323533697073,-0.0005924365389158172,0.0,0.0,-0.0011260132896571751,-5.726855980745515e-05,-0.0013649323533697073,-0.0005924365389158172,0.0,0.0
64,7.888423652706524e-56,0.0,0.0,0.0,0.0,0.0,0.0051182814675397575,-2.3229008370784667e-05,0.0025681186085701343,-0.0031359923515956564,0.0,0.0,0.0051182814675397575,-2.3229008370784667e-05,0.0025681186085701343,-0.0031359923515956564,0.0,0.0
65,4.067759098993624e-133,0.0,0.0,0.0,0.0,0.0,-0.001235011718468272,-0.0005270129322991112,-0.0013971460750028435,-0.0022411697601652826,0.0,0.0,-0.001235011718468272,-0.0005270129322991112,-0.0013971460750028435,-0.0022411697601652826,0.0,0.0
66,1.1649004656885983e-110,0.0,0.0,0.0,0.0,0.0,-0.0026586828727598287,0.0013229844128191093,-0.0031818967236690175,0.0017864438536159457,0.0,0.0,-0.0026586828727598287,0.0013229844128191093,-0.0031818967236690175,0.0017864438536159457,0.0,0.0
