particle_id,x_nm,y_nm,radius_nm,degree,incident_intensity_v2_per_m2,scattered_intensity_v2_per_m2,total_intensity_v2_per_m2,dipole_intensity_c2_m2,normalized_dipole_intensity,directly_illuminated,remote
36,412.72542993153877,43.901363233493406,25.951083325485698,2,5.4075633901335086e-198,1.7967884264334325e-05,1.7967884264334325e-05,1.0265295527491574e-70,2.3417042657872517e-05,False,True
37,-226.48241748448967,-259.9223863619642,15.016692608634994,3,2.17565653910327e-17,0.003976189440640108,0.003976189464151559,8.532517057286398e-70,0.00019464253647096422,False,True
38,459.2015212361207,60.739740020013556,21.35959030907888,3,5.119203306803267e-218,1.5451754372903434e-05,1.5451754372903434e-05,2.7454454742926396e-71,6.262870232444611e-06,False,True
39,387.61178808611425,-32.87075835349895,24.240502708828757,2,1.1999032383964456e-174,1.7349123690905367e-05,1.7349123690905367e-05,6.584605212965079e-71,1.5020705516398448e-05,False,True
40,125.44627170989814,-91.48174119097024,20.57236186854879,3,1.6014615159798602e-91,7.258062479838489e-05,7.258062479838489e-05,1.0294822602219069e-70,2.3484399390720993e-05,False,True
41,432.07878804669946,-31.59848746461994,18.681132374177167,3,3.9283500887501396e-190,2.357474370278903e-05,2.357474370278903e-05,1.8749537039965485e-71,4.27711708352074e-06,False,True
42,502.2821467765326,71.37117713982704,19.362017704790873,3,2.249654139114612e-236,2.3251716834077202e-05,2.3251716834077202e-05,2.2923074047087594e-71,5.229178267421889e-06,False,True
43,473.28021132648183,-42.020939906327456,21.22950320710709,4,3.6466480294079887e-203,1.1476371755009597e-05,1.1476371755009597e-05,1.965729857955285e-71,4.48419432390573e-06,False,True
44,83.1196407338248,-145.70612535159844,17.4327775130134,3,1.3104070331515527e-74,0.00014429672722636547,0.00014429672722636547,7.5787332578756e-71,1.7288495934386115e-05,False,True
45,140.2184215807311,-130.77827089212673,18.27203277632712,3,3.3361405676405604e-89,8.619537128457617e-05,8.619537128457617e-05,6.002541647920787e-71,1.369291058874806e-05,False,True
46,-61.07616304903689,-17.803158187196367,16.634001264168123,2,6.89201795992208e-69,0.00017487335844547307,0.00017487335844547307,6.931919606888421e-71,1.58129940536758e-05,False,True
47,-252.79827754148158,-293.8867600156296,24.740491188019558,4,9.046401820663828e-13,0.003457095643569764,0.003457110741937476,1.483027829086482e-68,0.003383061485519295,False,True
