particle_id,x_nm,y_nm,dipole_real_Cm,dipole_imag_Cm,local_field_real_Vm,local_field_imag_Vm,field_magnitude_Vm,normalized_E2,hotspot_intensity,propagation_distance_nm
41,226.08030197532844,126.54008849965759,-7.332785484390014e-36,-1.118935113916652e-36,-0.009316029981386352,-0.001249041731505277,0.00939938933447972,8.83485198611311e-05,8.83485198611311e-05,226.08030197532844
42,270.41404451994276,-127.02798506955571,-6.42862121707735e-36,-2.9180155239241343e-36,-0.008211860338641217,-0.0035491829748893434,0.008946024257210184,8.003135001059303e-05,8.003135001059303e-05,270.41404451994276
43,270.611373834795,-87.28493360186057,-5.7767463434557504e-36,-1.9126341436716637e-36,-0.007362848704132988,-0.0022903989709515105,0.007710866908855875,5.945746848608856e-05,5.945746848608856e-05,270.611373834795
44,270.21372114141144,-47.377997515448754,-5.8641605887075705e-36,-1.6238233160377385e-36,-0.007466958114167348,-0.0019224790353064662,0.007710472691082077,5.945138911992249e-05,5.945138911992249e-05,270.21372114141144
45,269.85545651903254,-10.442477611134663,-5.982259791017002e-36,-1.5462778163093665e-36,-0.0076148014385901824,-0.0018215170670503335,0.007829631241298072,6.130312537471078e-05,6.130312537471078e-05,269.85545651903254
46,270.64894355167485,30.199915929660126,-5.9967369644323746e-36,-1.716860709959821e-36,-0.007637065450462934,-0.002037304909748948,0.007904136890890857,6.247537998994178e-05,6.247537998994178e-05,270.64894355167485
47,270.05413171853826,68.84635204627189,-5.624756879696514e-36,-1.9069046501927957e-36,-0.007170153286571034,-0.0022866345560413038,0.007525941518893672,5.6639795745807596e-05,5.6639795745807596e-05,270.05413171853826
48,269.16297892163726,106.83389646309712,-5.7813339822397104e-36,-2.6597751974264935e-36,-0.007385839539804131,-0.0032368869557478416,0.008063997945933805,6.502806287202463e-05,6.502806287202463e-05,269.16297892163726
49,314.9481148745534,-108.2020948990622,-4.6499459556677916e-36,-4.699070335387588e-36,-0.005999310904644877,-0.005846593649540446,0.008377015496788676,7.017438863343763e-05,7.017438863343763e-05,314.9481148745534
50,314.5904119667001,-69.10264504615569,-4.6387990365300484e-36,-4.008862765146565e-36,-0.0059693187944323016,-0.0049723885915423675,0.00776900348660389,6.03574151748634e-05,6.03574151748634e-05,314.5904119667001
51,315.610775762884,-29.23750547929041,-4.830744122592062e-36,-4.011377600043472e-36,-0.006212562241373151,-0.004971161508862157,0.007956656103548027,6.330837635012807e-05,6.330837635012807e-05,315.610775762884
52,315.231329840895,9.852942863337105,-4.817116899735527e-36,-3.9777078921385396e-36,-0.0061945230299387585,-0.004928816853901379,0.007916144967580113,6.266535114774395e-05,6.266535114774395e-05,315.231329840895
53,314.88848264906426,49.04618249283245,-4.561180589999097e-36,-4.030086560297449e-36,-0.005871467765131071,-0.005001062795384591,0.007712636566074743,5.94847628003532e-05,5.94847628003532e-05,314.88848264906426
54,315.24700344823475,87.30610601166173,-4.129726197668461e-36,-4.1740473223894074e-36,-0.005328144820622923,-0.005193374619907269,0.007440448049158589,5.5360267172227855e-05,5.5360267172227855e-05,315.24700344823475
55,314.91171769873733,125.5017678006699,-4.1845578684101296e-36,-5.1099350970436284e-36,-0.005419132266907787,-0.006377840820748947,0.008369220277962143,7.004384806105273e-05,7.004384806105273e-05,314.91171769873733
