gap_nm,radius_nm,wavelength_nm,polarization_deg,solver_backend,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Eparallel_real,Eparallel_imag,Eperp_real,Eperp_imag,Ex_abs,Ex_phase_deg,Ey_abs,Ey_phase_deg,Ez_abs,Ez_phase_deg,Eparallel_abs,Eparallel_phase_deg,Eperp_abs,Eperp_phase_deg
2.5,10.0,633.0,60.0,PDA,2.6255551486397835,0.017443992444191498,-0.4331983626117719,-0.005976235529057237,0.0,0.0,2.6255551486397835,0.017443992444191498,-0.4331983626117719,-0.005976235529057237,2.6256130962922293,0.3806632817227908,0.43323958355697256,-179.20961992780101,0.0,0.0,2.6256130962922293,0.3806632817227908,0.43323958355697256,-179.20961992780101
2.5,10.0,633.0,90.0,PDA,3.215377708766564e-16,2.1362729511129728e-18,-0.5002143825328229,-0.0069007623828836046,0.0,0.0,3.215377708766564e-16,2.1362729511129728e-18,-0.5002143825328229,-0.0069007623828836046,3.21544867417365e-16,0.3806632817227908,0.5002619803804386,-179.20961992780101,0.0,0.0,3.21544867417365e-16,0.3806632817227908,0.5002619803804386,-179.20961992780101
3.0,10.0,633.0,0.0,PDA,4.914429036138077,0.03173964476614352,0.0,0.0,0.0,0.0,4.914429036138077,0.03173964476614352,0.0,0.0,4.914531529686925,0.37003737172599943,0.0,0.0,0.0,0.0,4.914531529686925,0.37003737172599943,0.0,0.0
3.0,10.0,633.0,30.0,PDA,4.2560203903914475,0.027487338674574095,-0.2062632204089579,-0.0032269666067714794,0.0,0.0,4.2560203903914475,0.027487338674574095,-0.2062632204089579,-0.0032269666067714794,4.256109152408474,0.3700373717259995,0.2062884616428063,-179.10368661854088,0.0,0.0,4.256109152408474,0.3700373717259995,0.2062884616428063,-179.10368661854088
3.0,10.0,633.0,60.0,PDA,2.4572145180690383,0.015869822383071767,-0.3572583774810927,-0.005589270117256341,0.0,0.0,2.4572145180690383,0.015869822383071767,-0.3572583774810927,-0.005589270117256341,2.4572657648434624,0.37003737172599954,0.35730209658056383,-179.10368661854088,0.0,0.0,2.4572657648434624,0.37003737172599954,0.35730209658056383,-179.10368661854088
3.0,10.0,633.0,90.0,PDA,3.009219894371654e-16,1.9434927184465855e-18,-0.4125264408179157,-0.00645393321354296,0.0,0.0,3.009219894371654e-16,1.9434927184465855e-18,-0.4125264408179157,-0.00645393321354296,3.009282653569919e-16,0.37003737172599943,0.41257692328561246,-179.10368661854088,0.0,0.0,3.009282653569919e-16,0.37003737172599943,0.41257692328561246,-179.10368661854088
4.0,10.0,633.0,0.0,PDA,4.34873793826359,0.02664588572591151,0.0,0.0,0.0,0.0,4.34873793826359,0.02664588572591151,0.0,0.0,4.3488195707478114,0.35106224145471615,0.0,0.0,0.0,0.0,4.3488195707478114,0.35106224145471615,0.0,0.0
4.0,10.0,633.0,30.0,PDA,3.766117528937433,0.023076013944976527,-0.12787747615378603,-0.0028202985648027607,0.0,0.0,3.766117528937433,0.023076013944976527,-0.12787747615378603,-0.0028202985648027607,3.7661882247425424,0.3510622414547162,0.12790857278328432,-178.7365639563743,0.0,0.0,3.7661882247425424,0.3510622414547162,0.12790857278328432,-178.7365639563743
4.0,10.0,633.0,60.0,PDA,2.174368969131795,0.013322942862955756,-0.22149028584203534,-0.004884900406751968,0.0,0.0,2.174368969131795,0.013322942862955756,-0.22149028584203534,-0.004884900406751968,2.1744097853739057,0.3510622414547162,0.22154414678427053,-178.7365639563743,0.0,0.0,2.1744097853739057,0.3510622414547162,0.22154414678427053,-178.7365639563743
4.0,10.0,633.0,90.0,PDA,2.662833998212583e-16,1.6315899332341839e-18,-0.2557549523075724,-0.005640597129605521,0.0,0.0,2.662833998212583e-16,1.6315899332341839e-18,-0.2557549523075724,-0.005640597129605521,2.662883983692837e-16,0.3510622414547161,0.255817145566569,-178.7365639563743,0.0,0.0,2.662883983692837e-16,0.3510622414547161,0.255817145566569,-178.7365639563743
5.0,10.0,633.0,0.0,PDA,3.894483450429223,0.02273354819732938,0.0,0.0,0.0,0.0,3.894483450429223,0.02273354819732938,0.0,0.0,3.894549801951536,0.334452973633709,0.0,0.0,0.0,0.0,3.894549801951536,0.334452973633709,0.0,0.0
5.0,10.0,633.0,30.0,PDA,3.3727216026897824,0.019687830257045173,-0.06022743282058246,-0.0024618762636662624,0.0,0.0,3.3727216026897824,0.019687830257045173,-0.06022743282058246,-0.0024618762636662624,3.372779064793685,0.3344529736337089,0.06027772805021252,-177.6592620692687,0.0,0.0,3.372779064793685,0.3344529736337089,0.06027772805021252,-177.6592620692687
