gap_nm,polarization_deg,lmax,Egap_real,Egap_imag,Egap_abs,Egap_phase_deg,relative_magnitude_change,phase_change_deg,convergence_status
1.0,90,10,-0.09720731075906008,-0.0031155364093650357,0.09725722508958683,-178.16427385142273,0.039805262043202144,0.04372354114346422,PENDING
1.0,90,11,-0.10084613466712233,-0.003157233524586197,0.10089554499990644,-178.20680198485735,0.0360602632189854,0.042528133434615256,PENDING
1.0,90,12,-0.10372466244182621,-0.0031868636466127302,0.10377360790958795,-178.2401830956501,0.027734054618097158,0.03338111079276018,PENDING
1.0,90,13,-0.1057869997160199,-0.0032063164410339297,0.10583557896112837,-178.26394380209018,0.019482777642268558,0.023760706440072,PENDING
1.0,90,14,-0.10716290120486205,-0.003218204715996666,0.1072112132019645,-178.27986976235164,0.012831066823623285,0.01592596026145543,PENDING
1.0,90,15,-0.10802676662000588,-0.003224924931977186,0.10807489276973678,-178.29005595161922,0.00799149132271106,0.010186189267585632,PENDING
1.0,90,16,-0.10853736485659171,-0.0032283477211401874,0.10858536641288964,-178.29629013209987,0.004701127417223191,0.006234180480646501,PENDING
1.0,90,17,-0.10881860416566891,-0.003229800683533812,0.10886652481373643,-178.2999263992474,0.002582597371669884,0.0036362671475274055,PASS
1.5,0,1,6.116255136564284,0.04376249709625711,6.116411697368081,0.4099507853206384,,,PENDING
1.5,0,2,7.766386644009834,0.06728138193531996,7.766678072935008,0.4963495854336083,0.21248033716212672,0.08639880011295986,PENDING
1.5,0,3,9.391826510069938,0.09217844673865631,9.392278853467651,0.5623258030334348,0.17307841961405007,0.0659762175998253,PENDING
1.5,0,4,10.747124829460638,0.11414277321486396,10.747730954610212,0.6085025888831987,0.12611518718387185,0.04617678584975238,PENDING
1.5,0,5,11.774603722967608,0.13147117446205747,11.775337681044952,0.6397183790239928,0.0872677076674331,0.031215790140805666,PENDING
1.5,0,6,12.509562650962742,0.1442382573639386,12.510394174175703,0.6606048042746391,0.05875566212358634,0.02088642525063733,PENDING
