upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class,Gamma_DE_PDA,Gamma_DE_corrected
28,109,459.8014009060928,482.15450600985736,21,22,9.904353269839593e-09,4.640432727101723e-09,0.4685245568968763,-0.3292676413924048,"[15, 56]","[56, 102]","[5, 3]","[3, 3]",1.8859859352315809,3.021949395935984,True,transition,0.4685245568968763,0.14981716657638786
145,29,432.12324885698223,450.9292832198933,20,21,1.335561213809606e-08,5.962901720445488e-09,0.4464716149877308,-0.3502061467330068,"[81, 110]","[15, 110]","[3, 2]","[5, 2]",3.094556656921988,5.436158091802639,True,transition,0.44647161498773075,0.19348158556024023
31,30,196.38979467172092,211.89698742615428,10,11,1.3284406939857564e-06,6.219143367097329e-07,0.4681536326953268,-0.3296116023048029,"[16, 65]","[16, 19]","[3, 2]","[3, 2]",4.066998363042909,3.22466616508412,True,transition,0.46815363269532684,0.7206636022579381
30,36,211.89698742615428,218.11501008913703,11,11,6.219143367097329e-07,8.242851683342134e-07,1.3253998495920405,0.1223469169708242,"[16, 19]","[19, 23]","[3, 2]","[2, 4]",3.22466616508412,2.172092137061366,True,transition,1.3253998495920403,2.955106426418468
121,31,173.38005130911995,196.38979467172092,9,10,1.189781857712471e-05,1.3284406939857564e-06,0.1116541394016443,-0.9521251715090832,"[65, 72]","[16, 65]","[2, 3]","[3, 2]",3.4266310581966835,4.066998363042909,True,transition,0.11165413940164437,0.07916400291669937
32,33,195.3675953071537,213.4689619178194,9,10,7.311237622881518e-07,9.698106889736938e-08,0.1326465831090674,-0.8773039326849671,"[17, 31]","[17, 186]","[3, 2]","[3, 2]",1.823449260077684,4.346081354050835,True,transition,0.13264658310906743,0.021552612342246005
59,32,172.8571825108199,195.3675953071537,8,9,1.7494549999348807e-06,7.311237622881518e-07,0.417915157757911,-0.3789118767356847,"[31, 47]","[17, 31]","[2, 2]","[3, 2]",3.7177475871085655,1.823449260077684,True,transition,0.417915157757911,1.983869869161057
35,34,474.88384144189,481.71617814609726,22,22,1.921230609989069e-09,2.7564098277056916e-08,14.34710551338433,1.156764292264391,"[18, 22]","[18, 20]","[3, 4]","[3, 2]",4.971037679916861,2.755746422771644,True,transition,14.347105513384333,40.775610948069904
34,37,481.71617814609726,504.52088377606094,22,23,2.7564098277056916e-08,1.991495358599605e-08,0.7224961029315563,-0.1411644911041276,"[18, 20]","[20, 29]","[3, 2]","[2, 2]",2.755746422771644,3.0624038013435,True,transition,0.7224961029315564,0.5783759871761269
35,39,474.88384144189,482.9316681520738,22,22,1.921230609989069e-09,1.9927213831532352e-08,10.372109276171551,1.015867083665026,"[18, 22]","[22, 27]","[3, 4]","[4, 3]",4.971037679916861,2.083208790941619,True,transition,10.372109276171553,54.56817070853304
40,35,471.5215088989586,474.88384144189,22,22,1.1902127240052622e-08,1.921230609989069e-09,0.1614190951953371,-0.7920450913770418,"[22, 56]","[18, 22]","[4, 3]","[3, 4]",2.773573073633745,4.971037679916861,True,transition,0.1614190951953371,0.057793583825772744
41,36,215.42313370782745,218.11501008913703,11,11,3.8986569148694915e-08,8.242851683342134e-07,21.14279831062813,1.325162466908837,"[23, 24]","[19, 23]","[4, 3]","[2, 4]",4.363310405480171,2.172092137061366,True,transition,21.142798310628127,82.83544726152023
42,36,198.4369214581485,218.11501008913703,10,11,7.864710020492065e-06,8.242851683342134e-07,0.1048080814405718,-0.979605228900666,"[23, 30]","[19, 23]","[4, 4]","[2, 4]",4.338554619088921,2.172092137061366,True,transition,0.1048080814405718,0.38527781735842614
36,43,218.11501008913703,222.11178057308143,11,11,8.242851683342134e-07,1.2104603311558497e-06,1.4684970416270526,0.1668730759481342,"[19, 23]","[23, 140]","[2, 4]","[4, 2]",2.172092137061366,3.857222644832007,True,transition,1.4684970416270529,0.47785506012678064
37,55,504.52088377606094,527.7407307470618,23,24,1.991495358599605e-08,1.2320992780670132e-08,0.6186804667892425,-0.2085335954711277,"[20, 29]","[29, 34]","[2, 2]","[2, 3]",3.0624038013435,3.387756131141508,True,transition,0.6186804667892424,0.5247585945928522
38,63,413.871328680247,435.9208484869197,19,20,1.0024429835491628e-07,6.245394985060004e-08,0.6230174770587051,-0.2054997702209371,"[21, 33]","[33, 37]","[2, 3]","[3, 3]",2.946444660701175,2.142496909328244,True,transition,0.623017477058705,1.2859239120742867
38,64,413.871328680247,430.6550375273261,19,20,1.0024429835491628e-07,6.222163883789481e-09,0.0620700028420551,-1.2071182347291696,"[21, 33]","[33, 124]","[2, 3]","[3, 3]",2.946444660701175,3.3924663837018194,True,transition,0.06207000284205518,0.048014289484826916
40,39,471.5215088989586,482.9316681520738,22,22,1.1902127240052622e-08,1.9927213831532352e-08,1.674256494626775,0.223821992287984,"[22, 56]","[22, 27]","[4, 3]","[4, 3]",2.773573073633745,2.083208790941619,True,transition,1.6742564946267748,3.153690148062681
39,51,482.9316681520738,503.2831403661608,22,23,1.9927213831532352e-08,1.8493949061820253e-08,0.928075004271589,-0.0324169239697477,"[22, 27]","[27, 28]","[4, 3]","[3, 3]",2.083208790941619,2.7031208661412585,True,transition,0.928075004271589,0.5230556242642734
39,52,482.9316681520738,506.7525856012917,22,23,1.9927213831532352e-08,2.3486472781220047e-09,0.1178612975189517,-0.9286287821258252,"[22, 27]","[27, 36]","[4, 3]","[3, 4]",2.083208790941619,5.571825385997279,True,transition,0.11786129751895173,0.06248671622662864
40,109,471.5215088989586,482.15450600985736,22,22,1.1902127240052622e-08,4.640432727101723e-09,0.3898826347180949,-0.4090661077565056,"[22, 56]","[56, 102]","[4, 3]","[3, 3]",2.773573073633745,3.021949395935984,True,transition,0.38988263471809487,0.3122863962233237
42,41,198.4369214581485,215.42313370782745,10,11,7.864710020492065e-06,3.8986569148694915e-08,0.0049571527808542,-2.304767695809503,"[23, 30]","[23, 24]","[4, 4]","[4, 3]",4.338554619088921,4.363310405480171,True,transition,0.0049571527808543,0.004651122557980082
41,43,215.42313370782745,222.11178057308143,11,11,3.8986569148694915e-08,1.2104603311558497e-06,31.04813677087485,1.4920355428569714,"[23, 24]","[23, 140]","[4, 3]","[4, 2]",4.363310405480171,3.857222644832007,True,transition,31.04813677087485,39.58333763178252
41,44,215.42313370782745,239.38374467880132,11,12,3.8986569148694915e-08,5.0022408234514e-08,1.2830677160569928,0.1082495776016062,"[23, 24]","[24, 25]","[4, 3]","[3, 2]",4.363310405480171,3.670366039798033,True,transition,1.2830677160569928,1.6434905185614321
41,45,215.42313370782745,234.251910883412,11,12,3.8986569148694915e-08,1.6748226114780777e-06,42.958963767504095,1.6330537970052192,"[23, 24]","[24, 175]","[4, 3]","[3, 2]",4.363310405480171,2.732463427136832,True,transition,42.95896376750409,105.71392468356467
42,43,198.4369214581485,222.11178057308143,10,11,7.864710020492065e-06,1.2104603311558497e-06,0.1539103575340868,-0.8127321529525317,"[23, 30]","[23, 140]","[4, 4]","[4, 2]",4.338554619088921,3.857222644832007,True,transition,0.1539103575340869,0.18410695457932555
56,42,196.94987026791568,198.4369214581485,10,10,9.473361720907255e-08,7.864710020492065e-06,83.019209570928,1.9191785941277997,"[30, 41]","[23, 30]","[4, 4]","[4, 4]",4.301697678171163,4.338554619088921,True,transition,83.019209570928,82.72208284635705
57,42,188.672340960881,198.4369214581485,10,10,1.0453706648412108e-05,7.864710020492065e-06,0.7523369733822304,-0.1235875943800588,"[30, 78]","[23, 30]","[4, 4]","[4, 4]",2.517554995865815,4.338554619088921,True,transition,0.7523369733822304,0.2849103900788649
58,42,176.78591842210716,198.4369214581485,9,10,5.855170958490722e-05,7.864710020492065e-06,0.1343207581170155,-0.8718568656705783,"[30, 90]","[23, 30]","[4, 4]","[4, 4]",1.8408983096198064,4.338554619088921,True,transition,0.13432075811701558,0.02185065206392078
