gap_nm,radius_nm,wavelength_nm,polarization_deg,solver_backend,Egap_Ex_real_V_per_m,Egap_Ex_imag_V_per_m,Egap_Ex_abs_V_per_m,Egap_Ex_phase_deg,Egap_Ey_real_V_per_m,Egap_Ey_imag_V_per_m,Egap_Ey_abs_V_per_m,Egap_Ey_phase_deg,Egap_Ez_real_V_per_m,Egap_Ez_imag_V_per_m,Egap_Ez_abs_V_per_m,Egap_Ez_phase_deg,Eparallel_real,Eparallel_imag,Eparallel_abs,Eparallel_phase_deg,Eperp_real,Eperp_imag,Eperp_abs,Eperp_phase_deg,Egap_total_abs,Egap_total_over_E0,Eparallel_over_E0,lmax_used,magnitude_convergence_percent,phase_convergence_deg,convergence_status
3.0,10.0,633.0,0,miepy_GMMT,7.343704978545569,0.06433380889508265,7.343986768158145,0.5019212304668754,-1.3527191629660465e-16,5.384829026359315e-18,1.3537905200657425e-16,177.72040515129626,2.951740414591786e-16,-2.0816681711721685e-17,2.9590716278730396e-16,-4.034015144274942,7.343704978545569,0.06433380889508265,7.343986768158145,0.5019212304668754,-1.3527191629660465e-16,5.384829026359315e-18,1.3537905200657425e-16,177.72040515129626,7.343986768158146,7.343986768158146,7.343986768158145,10,0.15466228716385141,0.0005177215181220163,PASS
3.0,10.0,633.0,30,miepy_GMMT,6.359835069318719,0.05571471282535515,6.3600791062817335,0.5019212304668781,-0.04145263301773744,-0.0018664595282969509,0.04149463164403302,-177.42192318148534,2.4058446207453343e-16,6.938893903907228e-18,2.406845064400746e-16,1.652056609609359,6.359835069318719,0.05571471282535515,6.3600791062817335,0.5019212304668781,-0.04145263301773744,-0.0018664595282969509,0.04149463164403302,-177.42192318148534,6.360214465143193,6.360214465143193,6.3600791062817335,10,0.1561295151824967,0.0005256916949747392,PASS
3.0,10.0,633.0,60,miepy_GMMT,3.6718524892727853,0.032166904447541875,3.6719933840790735,0.5019212304668839,-0.07179806649422793,-0.003232802733281658,0.07187081024881999,-177.4219231814851,1.3845261742639892e-16,1.3877787807814457e-17,1.3914639868375862e-16,5.723919803295854,3.6718524892727853,0.032166904447541875,3.6719933840790735,0.5019212304668839,-0.07179806649422793,-0.003232802733281658,0.07187081024881999,-177.4219231814851,3.6726966694904593,3.6726966694904593,3.6719933840790735,10,0.16827877970368255,0.000600561932628807,PASS
3.0,10.0,633.0,90,miepy_GMMT,-3.068222227169496e-16,2.9407166860583464e-16,4.2499179124965374e-16,136.21559451865602,-0.08291379254206799,-0.003734274542020787,0.08299784214101155,-177.42125315906478,-3.366956005724996e-20,-3.28424701028694e-18,3.2844195931477987e-18,-90.58736632897725,-3.068222227169496e-16,2.9407166860583464e-16,4.2499179124965374e-16,136.21559451865602,-0.08291379254206799,-0.003734274542020787,0.08299784214101155,-177.42125315906478,0.08299784214101157,0.08299784214101157,4.2499179124965374e-16,11,0.010336236129482493,0.0006700224207349947,PASS
4.0,10.0,633.0,0,miepy_GMMT,5.705580077149332,0.04377685908597776,5.705748016706908,0.4396012350145281,-1.8497523040041748e-16,-3.130349687143569e-17,1.8760528984564247e-16,-170.39479694645993,1.612208630485945e-16,1.3877787807814457e-17,1.618170561979558e-16,4.9198561487484245,5.705580077149332,0.04377685908597776,5.705748016706908,0.4396012350145281,-1.8497523040041748e-16,-3.130349687143569e-17,1.8760528984564247e-16,-170.39479694645993,5.705748016706908,5.705748016706908,5.705748016706908,8,0.2273366257799371,0.0006858005780827625,PASS
4.0,10.0,633.0,30,miepy_GMMT,4.941177290137696,0.03791187206634877,4.941322730060857,0.43960123501453313,-0.016766334315319986,-0.001876902761139263,0.016871061921166927,-173.61263223398157,1.3731420514528914e-16,-3.469446951953614e-18,1.3735802851247892e-16,-1.447354864136642,4.941177290137696,0.03791187206634877,4.941322730060857,0.43960123501453313,-0.016766334315319986,-0.001876902761139263,0.016871061921166927,-173.61263223398157,4.941351531245923,4.941351531245923,4.941322730060857,8,0.23551850174814096,0.0007106246441708208,PASS
4.0,10.0,633.0,60,miepy_GMMT,2.855843832041907,0.021928431456247566,2.8559280188964733,0.43993367866422894,-0.028620948020566583,-0.003248447151947218,0.02880470576997738,-173.5247000592006,8.348356728138384e-17,0.0,8.348356728138384e-17,0.0,2.855843832041907,0.021928431456247566,2.8559280188964733,0.43993367866422894,-0.028620948020566583,-0.003248447151947218,0.02880470576997738,-173.5247000592006,2.8560732764045866,2.8560732764045866,2.8559280188964733,9,0.13469795817979197,0.00045542945730403517,PASS
4.0,10.0,633.0,90,miepy_GMMT,-1.6253029851393046e-16,2.2446280365873754e-17,1.640729515712165e-16,172.13689394442437,-0.032845574128362864,-0.003750284004024681,0.03305898319568561,-173.48621793442507,-1.7418173773139517e-18,-3.1588584187812112e-18,3.607258555443148e-18,-118.87265980528967,-1.6253029851393046e-16,2.2446280365873754e-17,1.640729515712165e-16,172.13689394442437,-0.032845574128362864,-0.003750284004024681,0.03305898319568561,-173.48621793442507,0.03305898319568561,0.03305898319568561,1.640729515712165e-16,11,0.13071269375693817,0.008499615232778979,PASS
5.0,10.0,633.0,0,miepy_GMMT,4.723442214637514,0.03279477746377201,4.723556060051436,0.3977972126670998,-1.8572390026557237e-16,-2.5535288105423353e-17,1.8747111262400735e-16,-172.17145279687188,9.980080997729068e-17,-4.5102810375396984e-17,1.0951924568714989e-16,-24.319557109584746,4.723442214637514,0.03279477746377201,4.723556060051436,0.3977972126670998,-1.8572390026557237e-16,-2.5535288105423353e-17,1.8747111262400735e-16,-172.17145279687188,4.723556060051436,4.723556060051436,4.723556060051436,8,0.09982112675334129,0.00029577929808510817,PASS
5.0,10.0,633.0,30,miepy_GMMT,4.090620951183914,0.028401110395084132,4.090719544204474,0.39779721266710233,0.015580086973918439,-0.0018063226175202888,0.01568444807806218,-6.61322723523099,8.584170700653981e-17,6.938893903907228e-18,8.612169825547048e-17,4.621375933601442,4.090620951183914,0.028401110395084132,4.090719544204474,0.39779721266710233,0.015580086973918439,-0.0018063226175202888,0.01568444807806218,-6.61322723523099,4.090749612387438,4.090749612387438,4.090719544204474,8,0.10446930587552782,0.0003125832406851714,PASS
5.0,10.0,633.0,60,miepy_GMMT,2.3617211073187536,0.01639738873188567,2.3617780300257145,0.39779721266709217,0.026985502225167934,-0.003128642548406258,0.02716626095987892,-6.613227235231852,4.087442190270352e-17,1.734723475976807e-18,4.0911216449994665e-17,2.4301927480471726,2.3617211073187536,0.01639738873188567,2.3617780300257145,0.39779721266709217,0.026985502225167934,-0.003128642548406258,0.02716626095987892,-6.613227235231852,2.3619342642941366,2.3619342642941366,2.3617780300257145,8,0.14093294043966242,0.00049435278114629,PASS
5.0,10.0,633.0,90,miepy_GMMT,-1.2354865615232364e-16,1.0598088269731248e-17,1.2400237865467788e-16,175.09713095507175,0.031522490408523174,-0.0036102420012340377,0.03172855573238262,-6.533565741185891,-1.8032405005767675e-18,-2.6008989344574904e-18,3.164862014398489e-18,-124.73412418031015,-1.2354865615232364e-16,1.0598088269731248e-17,1.2400237865467788e-16,175.09713095507175,0.031522490408523174,-0.0036102420012340377,0.03172855573238262,-6.533565741185891,0.03172855573238262,0.03172855573238262,1.2400237865467788e-16,11,0.08473001218562329,0.005816718016575351,PASS
6.0,10.0,633.0,0,miepy_GMMT,4.056347998170268,0.025949809333566533,4.056431002108182,0.3665351868456851,-1.7689231175957415e-16,-1.178046796830556e-17,1.7728414871386175e-16,-176.1899085822896,6.451002926288751e-17,-3.469446951953614e-18,6.460325794920116e-17,-3.078487848825348,4.056347998170268,0.025949809333566533,4.056431002108182,0.3665351868456851,-1.7689231175957415e-16,-1.178046796830556e-17,1.7728414871386175e-16,-176.1899085822896,4.056431002108182,4.056431002108182,4.056431002108182,7,0.11805773127405408,0.00034219566600768303,PASS
6.0,10.0,633.0,30,miepy_GMMT,3.512900413005614,0.022473194106233316,3.5129722965244614,0.36653518684571956,0.050490103925704966,-0.0016890429765299012,0.05051834776202655,-1.915998390948968,5.580930682869134e-17,3.469446951953614e-18,5.591704383147802e-17,3.5572773614692093,3.512900413005614,0.022473194106233316,3.5129722965244614,0.36653518684571956,0.050490103925704966,-0.0016890429765299012,0.05051834776202655,-1.915998390948968,3.5133355176539793,3.5133355176539793,3.5129722965244614,7,0.12503837168142753,0.00037053388189178804,PASS
6.0,10.0,633.0,60,miepy_GMMT,2.028173999085135,0.012974904666783398,2.028215501054092,0.3665351868456887,0.08745142527875371,-0.0029255082515169785,0.08750034503826336,-1.9159983909488547,3.249218385667496e-17,-1.734723475976807e-18,3.253845843481332e-17,-3.056059885557596,2.028173999085135,0.012974904666783398,2.028215501054092,0.3665351868456887,0.08745142527875371,-0.0029255082515169785,0.08750034503826336,-1.9159983909488547,2.0301020735662325,2.0301020735662325,2.028215501054092,7,0.17700214533500724,0.0006642088185628836,PASS
6.0,10.0,633.0,90,miepy_GMMT,-8.184467747118032e-17,2.4997689807656334e-17,8.557707476936411e-17,163.01583971388243,0.10145475192243736,-0.003374402660203514,0.1015108530205342,-1.9049653304549587,1.7330823504493016e-18,-2.2647067805869593e-18,2.8517488030111324e-18,-52.57472946672012,-8.184467747118032e-17,2.4997689807656334e-17,8.557707476936411e-17,163.01583971388243,0.10145475192243736,-0.003374402660203514,0.1015108530205342,-1.9049653304549587,0.1015108530205342,0.1015108530205342,8.557707476936411e-17,9,0.12018309281472421,0.002814033613731226,PASS
